                                                                                                                                                                                                                                                                
                        1                         2                         3                         4
                        l                      n_pg                 Re(omega)                 Im(omega)
                        1                        -1   0.1118646913552510E+001   0.0000000000000000E+000
                        1                         2                         3                         4                         5                         6
                      rho                         x                  Re(xi_h)                  Im(xi_h)                  Re(xi_r)                  Im(xi_r)
  0.4315196615838821E-005   0.5000000000000000E-001   0.2003671763725174E-001   0.0000000000000000E+000   0.1759990644040494E-017   0.0000000000000000E+000
  0.4284530492470438E-005   0.5011676473564231E-001   0.2521416083129048E-001   0.0000000000000000E+000   0.1020687833617841E-003   0.0000000000000000E+000
  0.3932043502280075E-005   0.5169102437218658E-001   0.2041317826068771E-001   0.0000000000000000E+000   0.2048800431339075E-002   0.0000000000000000E+000
  0.3815218018626315E-005   0.5253619447392825E-001   0.8997478201461602E-003   0.0000000000000000E+000   0.2319686088473364E-002   0.0000000000000000E+000
  0.3709767965917525E-005   0.5337690746757043E-001  -0.5127241650692960E-002   0.0000000000000000E+000   0.2185148574218848E-002   0.0000000000000000E+000
  0.3620735733645485E-005   0.5416287919785381E-001  -0.3978918254269955E-002   0.0000000000000000E+000   0.2006662615551558E-002   0.0000000000000000E+000
  0.3547867465232072E-005   0.5494242803448363E-001  -0.1517857211046779E-002   0.0000000000000000E+000   0.1892994587726649E-002   0.0000000000000000E+000
  0.3472686265912020E-005   0.5571629361123732E-001   0.1405611094390798E-003   0.0000000000000000E+000   0.1842113922871524E-002   0.0000000000000000E+000
  0.3396784532599128E-005   0.5648566925036116E-001   0.6536928033680147E-003   0.0000000000000000E+000   0.1819670672649568E-002   0.0000000000000000E+000
  0.3309240962193584E-005   0.5740291258290349E-001   0.1030563979845593E-002   0.0000000000000000E+000   0.1804066978402999E-002   0.0000000000000000E+000
  0.3229242784100223E-005   0.5831424259740067E-001   0.1959135358028500E-002   0.0000000000000000E+000   0.1806978665292595E-002   0.0000000000000000E+000
  0.3154712966429485E-005   0.5931805766861036E-001   0.3200682636945824E-002   0.0000000000000000E+000   0.1848311824126341E-002   0.0000000000000000E+000
  0.3079552887577528E-005   0.6031008885552592E-001   0.3813989867067673E-002   0.0000000000000000E+000   0.1920656578301511E-002   0.0000000000000000E+000
  0.2979891502456223E-005   0.6129715908787866E-001   0.4060755519406430E-002   0.0000000000000000E+000   0.1998947200275154E-002   0.0000000000000000E+000
  0.2906087601103825E-005   0.6228675558310664E-001   0.5632413557283887E-002   0.0000000000000000E+000   0.2098276977904135E-002   0.0000000000000000E+000
  0.2877132808967251E-005   0.6287230655613055E-001   0.7482321979637441E-002   0.0000000000000000E+000   0.2190244345912013E-002   0.0000000000000000E+000
  0.2841697107339846E-005   0.6345375848753011E-001   0.9157931359364442E-002   0.0000000000000000E+000   0.2314493561641560E-002   0.0000000000000000E+000
